new_method_p_layer_circuit_384,new_method_censored_circuit_384,old_gray_trotter_method
26.37908235498187,33.979534070944155,42.107984192925706
26.681601067821152,34.081650207206614,41.402202327944785
26.223968774728423,33.78018051007408,40.594345018177336
26.0349228777281,33.71214204933558,39.7495038169452
24.799368296322694,32.779391968981244,40.957558957950376
24.45859335673881,32.516573746614206,39.50951944548767
24.133312240940604,32.36964562506905,38.69098839551255
23.548451264691312,32.59430153522153,38.216694357909155
24.14530099760126,32.20001928659166,37.36051192070278
23.10863160316577,31.97499409766387,36.585847100142914
22.46953151196364,31.578955777886087,36.07817058214355
22.43182889020638,31.398953670811988,35.08287353853536
22.17736500640809,31.576776231877965,34.80059546154958
21.223385427075936,31.226252072788565,34.26054986895505
20.86607525555477,30.5100236136616,32.54893288693891
21.115843850591553,30.67644447417851,31.68198304081458
20.35225902639514,29.896585157331977,30.878690460604286
20.084297642990336,29.5674187440095,30.624444010637824
20.259199652489734,29.50538545085601,29.6018940396278
19.654942997668186,28.788863486359652,28.17597226412043
19.363666006996265,29.09304739234356,27.84646472824479
18.963783599514237,28.069433072382793,27.530725629094974
18.90453057018202,28.52823303542491,26.33425737193506
18.406836852646187,28.0160723698688,25.126863988212005
18.6393381491176,27.500381569185702,24.920119550050817
17.969933749190933,27.090055857970782,25.0559136024156
17.842725705562206,26.547407631823006,23.682973894316525
17.96807130989,26.919182748724456,23.082093330725
17.65420231774231,25.65915043041992,22.81137581475163
17.466032595477657,25.861526948389365,22.04392737151315
16.963757784648266,25.20211820645983,20.79199335399131
16.853418104625952,24.96114250541762,20.692746818955573
16.281738105075167,24.636716848673007,20.37991306445831
16.110954424031362,23.902045662466563,19.300147301106417
16.124151665665654,23.897167132027885,18.475635782520662
15.501233115679247,23.46911345178805,18.454339887982513
15.368758572767367,23.42524226226991,17.849206498569014
15.133784891577639,23.077342780157668,17.10523107248665
14.63217820890122,22.485229170814982,17.360144903875057
14.612319177321263,22.01743171275971,16.7245529584046
14.379789224049233,21.792103970381767,16.499236316010467
13.827393753708474,21.770478789439473,16.3052973972639
13.594698729433679,20.955874351246003,15.736574580243389
13.55082864413836,21.217896616437624,15.578930860047937
13.11413677488226,21.11530261153391,15.213384071418721
12.583832196708915,20.74270349093407,14.983642276694502
12.743664357538409,20.66917501621494,14.981180245691828
12.103713580262877,20.538786699488515,14.911249433299073
11.977051556453986,19.383973010115703,14.513380647307457
11.545291390382733,19.744684792990515,14.070892645659399
11.606825725369289,19.41201458862356,14.489430622983013
11.355702572911126,19.25761282831473,13.926313417803039
10.920260386723053,19.07069361498956,13.697274504804861
