new_method_p_layer_circuit,old_gray_trotter_method
107.98248073279517,124.47785458066332
107.98519341667605,124.46760414563028
107.94728524680541,124.44255045461688
108.00197094235571,124.42120782901321
108.0251290020825,124.37730420383494
108.03422281248464,124.40024344148883
107.96142892588267,124.36331859708736
107.93273834551555,124.37546775640668
107.9995642023185,124.29782349269377
107.95535318859211,124.29836983183966
107.95011998016174,124.33162810413725
107.93949578692833,124.30196712401535
107.93474599340101,124.29919110869231
107.95393063200562,124.2741530520604
107.98755227683255,124.22032834318047
107.98055148088628,124.2688699171327
107.94046416586716,124.20694046899942
107.92182257086458,124.16967154172227
107.90792543536269,124.15111868281112
107.89738083715498,124.19173950177421
107.89373234365821,124.18307635837635
107.94496364914625,124.15799285826326
107.89685089637982,124.15332771220275
107.91214916430181,124.11521401272186
107.9015231863089,124.14194296656493
107.92510870009465,124.13088374404295
107.91521745763862,124.12880813337954
107.83756768270663,124.05763030093756
107.88070830665279,124.04296383123709
107.8617196239815,124.01938368741311
107.85563761171232,124.02294672296328
107.86304460653919,124.03249518645649
107.82844154277974,123.97272774631787
107.84670127719525,123.96408618867261
107.8427943809326,123.95057969845406
107.84320113865422,123.92573626192532
107.82663027455736,123.88854036313158
107.83034888495104,123.89198625788441
107.88030562341869,123.88670435469477
107.84417592005607,123.87518370421274
107.78684438051864,123.91056878470121
107.78774515820807,123.91320160478176
107.77312834075967,123.90259581531247
107.83245066899467,123.86544408798407
107.80856175909327,123.87260705433665
107.80704303127455,123.87839324252474
107.8309870995199,123.88103260598025
107.80376435348356,123.85727948523125
107.81717840587635,123.87457332634605
107.80027375392746,123.8607775032492
107.79297837059751,123.82008107802739
107.78448449287998,123.76996103266391
107.78924011362469,123.72123398912758
107.7618650562104,123.7219850624296
107.80126633736543,123.66482284489577
107.82999725353368,123.67820085069808
107.80232811367954,123.65594456446347
107.78559942527303,123.6437962022116
107.76221508983048,123.62826872538604
107.76818707216913,123.60138632971965
107.72390097399874,123.58598627094747
107.76964857074249,123.58649174437649
107.77949416864159,123.54357960467676
107.74343943247366,123.55525564524501
107.72946545795017,123.53995884521463
107.75192295679923,123.54604089307821
107.77779873399759,123.52841434382437
107.77887750301248,123.49438757921308
107.73608715755928,123.49563327602205
107.72922519785298,123.50724734192137
107.73768202330118,123.47656441232807
107.71371055292396,123.47141503736628
107.74636243831522,123.46815104728505
107.70795760317806,123.42512932382347
107.75514321935924,123.48003660379376
107.7481208118336,123.44655758502878
107.72053466194522,123.46679515674084
107.73486560075828,123.4359419077899
107.72635675621127,123.46040722224497
107.7117500938714,123.44943931456402
107.73169758013023,123.42769733227243
107.70633911426174,123.44415678112799
107.68567397038237,123.40756574561445
107.69401994608121,123.40148986084078
107.69669197539523,123.3825559727722
107.71051387160186,123.39245222511353
107.69710284289154,123.38468080788972
107.67395396466888,123.37194506318411
107.67824044257281,123.3646064421951
107.6551825659924,123.38424958446438
107.65608069653807,123.36129107066262
107.66422517381262,123.36676775394061
107.68745787164768,123.38164942799004
107.6667142616309,123.36195569229423
107.67098925048603,123.38625934677928
107.64375559567625,123.35680374323555
107.66351388471868,123.38736983219825
107.67420526205572,123.37522086763566
107.65256542726125,123.36268337778704
107.66569646719131,123.37306519949247
107.661195995079,123.35082610019383
107.65912694078061,123.36433979343855
107.6570975834013,123.3563761278793
107.62657149136236,123.37387931540238
107.63397119637034,123.37149688277042
107.6412018530613,123.35217389089149
107.64823019497761,123.33511585102441
107.62740562390347,123.34075543758767
107.65374777761913,123.3485738742802
107.59961680231457,123.35696042651348
107.63137791195308,123.3345654449705
107.61868700531002,123.33060244386307
107.61482975464114,123.32741472514768
107.64107172815565,123.32255126261539
107.6354079934216,123.36880839993542
107.64663823787393,123.34524259336472
107.63694621718314,123.32986209318015
107.6472332353747,123.34375727775013
107.63531453682687,123.33853396471949
107.62932011716495,123.34593191783871
107.64695926783693,123.33623405885017
107.63718622950094,123.34178612049654
107.6348720878969,123.34381578642493
107.64890782029133,123.34018944090995
107.6254900589213,123.3392950776763
107.63141143037221,123.33575515519568
107.64277797398088,123.33122852544301
107.6468493248272,123.35260591008678
107.63250239472528,123.33745402747326
107.63688228841684,123.3450277465578
107.64279957331699,123.33474691414729
107.62820396219543,123.34892083256742
107.63600233129723,123.35297269672391
107.62176026654366,123.33281980082137
107.62617334677255,123.33374532130864
107.62574712364639,123.3359200204596
107.62428675952384,123.34694060739204
107.62761467906519,123.3272216262182
107.62788687536549,123.3439489462625
107.64415682471802,123.35051384105759
107.63322584961637,123.35046903116465
107.63441694671252,123.33487734050391
107.62050004295037,123.34086674618867
107.64011711610716,123.34621933201369
107.62856671721319,123.35080999461981
107.62862822247068,123.34550179786825
107.64492835350465,123.37347543758769
107.6350398586672,123.34575800864715
107.64333698731409,123.32925892780548
107.64226113421645,123.36047709318017
107.63265639819294,123.34068688277043
107.62976668625879,123.32707098945185
107.64421424057615,123.32596083256739
107.63290970509159,123.34691889642862
107.64239693307739,123.34850685877632
107.64153440993282,123.33760399055926
107.63286389219671,123.35118688092471
107.62385341441647,123.34452484511813
107.64145799851651,123.33999345346069
107.63299304535643,123.33498641949983
107.63758873718734,123.33934863803066
107.64153611774226,123.33544701935217
107.63593255228889,123.34501222237913
107.63620503325572,123.3622065579273
107.64462930644446,123.349575005694
107.63225145688286,123.33960387797161
107.63911136561487,123.33190391857698
107.63194840607017,123.34351594515506
107.63088294947374,123.36746488756924
107.63775991199233,123.33738290159656
107.63654822148318,123.34315339808971
107.63632770156319,123.3468392987911
107.6477801960512,123.35984639735145
107.62795296947067,123.34168824858806
107.64112465587787,123.33279497800851
107.64676255773915,123.34930991894612
107.62944276078483,123.34018248446847
107.64657643252762,123.3398901182817
107.63967118718078,123.3467903489941
107.6335425915801,123.3308247177649
107.63468472355979,123.343985847333
107.64368472355977,123.34343163544668
107.64002482508263,123.33458284068846
107.63861534961733,123.34854415482651
107.63904174555641,123.33924175910856
107.62452567110633,123.32898706364897
107.64206035807754,123.35347479712996
107.63706712626707,123.32518417697491
107.63739538345827,123.35458492448323
107.6370417455564,123.36177598576046
107.6417354849811,123.33837188277043
107.64837677093712,123.3454573700351
107.64580655097096,123.34731265242712
107.64209081493034,123.3299926985696
107.63737677093712,123.35111657638431
107.6420045205141,123.33116560923774
107.63681331916045,123.33448661514399
107.63375240545489,123.35091818952567
107.63626847990498,123.3552672611388
107.64078624640244,123.35646212086566
107.63307558650396,123.34424045235329
107.6444292244058,123.35426587686418
107.64894022271375,123.34168692706719
107.63065088261223,123.3378273386582
107.63681501120783,123.34826952212075
107.63936661865283,123.35070524563494
107.63794699090326,123.34354287021965
107.62953243929583,123.33584150440203
107.64131078108942,123.35552755091365
107.64342076416892,123.35711014596717
107.64198252389819,123.3466830972407
107.64943430054795,123.33902630506647
107.63871687245997,123.34635806955522
107.63776086569176,123.34971175172576
107.6344816778745,123.34383467531377
107.63693176247688,123.3524738872001
107.63631247313677,123.36352316737728
107.63008404674085,123.3603388281377
107.6366897997019,123.3558326911868
107.63816018887282,123.34800867863606
107.63204851374593,123.33793346638059
107.64965595875437,123.35048362326505
107.64159335300141,123.35496175172577
107.6453547743212,123.36660816184016
107.63643430054795,123.34975526409194
107.62894191476114,123.33612827996495
107.64060350528567,123.33977312123478
107.64207389445657,123.35054097837764
107.63126340376283,123.34419375615542
107.63820418210463,123.34830089901257
107.64048675401665,123.35559256567923
107.645757481597,123.34069970853639
107.63936154251073,123.34069970853639
107.63953243929583,123.34069970853639
107.6325341313432,123.34069970853639
107.6352447912417,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
107.63347829377976,123.34069970853639
